Clave,Proyecto,Alias,Sector,Subsector,Tipo de inversión,Moneda del contrato,Inversión (Millones MXN),Inversión (Millones USD),Alcances del contrato,Participación Banobras/Fonadin,Descripción,Tipo de proyecto,Tipo de contrato,Plazo de contrato,Proceso de selección,Registro de Unidad de Inversiones o equivalente,Anuncio/ Convocatoria,Recepción de propuestas,Fallo,Firma contrato,Inicio de ejecución/construcción,Inicio de operación,Término de la vigencia del contrato,Etapa,Subetapa,Nombre del adjudicatario del contrato,Empresas asociadas al adjudicatario,Estado(s),Entidad responsable,�?rea responsable,Observaciones,URL,Activo,Cantidad,Medida,Calidad,Activo 2,Cantidad 2,Medida 2,Calidad 2,Activo 3,Cantidad 3,Medida 3,Calidad 3,Activo 4,Cantidad 4,Medida 4,Calidad 4,Sostenibilidad
,"0614 Ronda 2, Licitación 4: Área 12, Cordilleras Mexicanas","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS PROFUNDAS DEL GOLFO DE MÉXICO CORRESPONDIENTE A LA RONDA 2, LICITACIÓN 4, ÁREA 12 (CORDILLERAS MEXICANAS).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,2458,119,"Exploración,Extracción",,"Contrato de licencia CNH-R02-L04-AP-CM-G03/2018 para la exploración de hidrocarburos en aguas profundas del Golfo de México, en un área de 3,099 km2 en la provincia petrolera de Cordilleras Mexicanas para la extracción de aceite ligero y gas seco. Características Principales: - Provincia geológica: Cordilleras Mexicanas - Edad(es) del play: Mioceno medio, mioceno temprano y oligoceno tardío, oligoceno temprano y mesozoico. - Litología(s): Arena grano medio y brechas - Tipo de hidrocarburo: Aceite ligero y gas seco",Público / Privado,Licencia,35 Años,Licitación Pública Internacional,,20/07/2017,31/01/2018,02/02/2018,07/05/2018,07/05/2018,,07/05/2053,Ejecución,,"PC Carigali Mexico Operations, Ophir Mexico Operations, PTTEP México E&P Limited",Ophir Mexico,Aguas Profundas del Golfo de México,Comisión Nacional de Hidrocarburos,Dirección General de Contratación para la Exploración y Extracción,"El contrato de tipo licencia para la extracción de hidrocarburos estipula que el contratista proporcionará y será responsable de todos los recursos técnicos y económicos financieros que se requieran para la ejecución de las operaciones y tendrá el derecho de propiedad sobre los hidrocarburos extraídos en el área de Contrato. El Contratista pagará una regalía, sobre la base de los Hidrocarburos fiscalizados. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La cuota contractual para la fase exploratoria 2. Contraprestación sobre la base de ingresos brutos antes de deducir los costos 3. Mecanismo de ajuste con base en volumen de producción y de precios Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años. Recursos Prospectivos: Es el volumen de hidrocarburos estimado, a una cierta fecha, de acumulaciones que todavía no se descubren pero que han sido inferidas y que se estiman potencialmente recuperables, mediante la aplicación de proyectos de desarrollo futuros. Estos tienen tanto una oportunidad de descubrimiento como de desarrollo, además se subdividen de acuerdo con el nivel de certidumbre asociado a las estimaciones de recuperación: - P90: Estimación baja de cantidades, que con un 90% de probabilidad serán iguales o mayores a dicho nivel. - P50: Mejor estimación de cantidades, que con un 50% de probabilidad serán iguales o mayores a dicho nivel. - P10: Estimación alta de cantidades, que con un 10% de probabilidad serán iguales o mayores a dicho nivel.",https://www.proyectosmexico.gob.mx/proyecto_inversion/614-ronda2-licitacion-4-area-12/,Yacimiento,3099,km2,Aceite ligero,,,,Gas seco,,,,,,,,,
,"0612 Ronda 2, Licitación 4: Área 10, Cordilleras Mexicanas","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS PROFUNDAS DEL GOLFO DE MÉXICO CORRESPONDIENTE A LA RONDA 2, LICITACIÓN 4, ÁREA 10 (CORDILLERAS MEXICANAS).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,3100,151,"Exploración,Extracción",,"Contrato de licencia CNH-R02-L04-AP-CM-G01/2018 para la exploración de hidrocarburos en aguas profundas del Golfo de México, en un área de 1,999 km2 en la provincia petrolera de Cordilleras Mexicanas para la extracción de aceite ligero y gas seco. Características Principales: - Provincia geológica: Cordilleras Mexicanas - Edad(es) del play: Mioceno medio, mioceno temprano y mesozoico - Litología(s): Arena grano medio y brechas - Tipo de hidrocarburo: Aceite ligero y gas seco",Público / Privado,Licencia,35 Años,Licitación Pública Internacional,,20/07/2017,31/01/2018,02/02/2018,07/05/2018,07/05/2018,,07/05/2053,Ejecución,,"Repsol Exploración México, PC Carigali Mexico Operations y Ophir Mexico Operations",Ophir Mexico,Aguas Profundas del Golfo de México,Comisión Nacional de Hidrocarburos,Dirección General de Contratación para la Exploración y Extracción,"El contrato de tipo licencia para la extracción de hidrocarburos estipula que el contratista proporcionará y será responsable de todos los recursos técnicos y económicos financieros que se requieran para la ejecución de las operaciones y tendrá el derecho de propiedad sobre los hidrocarburos extraídos en el área de Contrato. El Contratista pagará una regalía, sobre la base de los Hidrocarburos fiscalizados. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La cuota contractual para la fase exploratoria 2. Contraprestación sobre la base de ingresos brutos antes de deducir los costos 3. Mecanismo de ajuste con base en volumen de producción y de precios Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años. Recursos Prospectivos: Es el volumen de hidrocarburos estimado, a una cierta fecha, de acumulaciones que todavía no se descubren pero que han sido inferidas y que se estiman potencialmente recuperables, mediante la aplicación de proyectos de desarrollo futuros. Estos tienen tanto una oportunidad de descubrimiento como de desarrollo, además se subdividen de acuerdo con el nivel de certidumbre asociado a las estimaciones de recuperación: - P90: Estimación baja de cantidades, que con un 90% de probabilidad serán iguales o mayores a dicho nivel. - P50: Mejor estimación de cantidades, que con un 50% de probabilidad serán iguales o mayores a dicho nivel. - P10: Estimación alta de cantidades, que con un 10% de probabilidad serán iguales o mayores a dicho nivel.",https://www.proyectosmexico.gob.mx/proyecto_inversion/612-ronda2-licitacion-4-area-10/,Yacimiento,1999,km2,Aceite ligero,,,,Gas seco,,,,,,,,,
,"0609 Ronda 2, Licitación 4: Área 7, Perdido","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS PROFUNDAS DEL GOLFO DE MÉXICO CORRESPONDIENTE A LA RONDA 2, LICITACIÓN 4, ÁREA 7 (PERDIDO).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,2137,104,"Exploración,Extracción",,"Contrato de licencia CNH-R02-L04-AP-PG07/2018 para la exploración de hidrocarburos en aguas profundas del Golfo de México, en un área de 1,968 km2 en la provincia petrolera de Perdido para la extracción de aceite ligero. Características Principales: - Provincia geológica: Salina del Bravo - Edad(es) del play: Mioceno temprano - Litología(s): Arena grano medio - Tipo de hidrocarburo: Aceite ligero",Público / Privado,Licencia,35 Años,Licitación Pública Internacional,,20/07/2017,31/01/2018,02/02/2018,07/05/2018,07/05/2018,,07/05/2053,Ejecución,,Shell Exploracion y Extraccion de Mexico y QPI México,Qatar Petroleum International,Aguas Profundas del Golfo de México,Comisión Nacional de Hidrocarburos,Dirección General de Contratación para la Exploración y Extracción,"El contrato de tipo licencia para la extracción de hidrocarburos estipula que el contratista proporcionará y será responsable de todos los recursos técnicos y económicos financieros que se requieran para la ejecución de las operaciones y tendrá el derecho de propiedad sobre los hidrocarburos extraídos en el área de Contrato. El Contratista pagará una regalía, sobre la base de los Hidrocarburos fiscalizados. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La cuota contractual para la fase exploratoria 2. Contraprestación sobre la base de ingresos brutos antes de deducir los costos 3. Mecanismo de ajuste con base en volumen de producción y de precios Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años. Recursos Prospectivos: Es el volumen de hidrocarburos estimado, a una cierta fecha, de acumulaciones que todavía no se descubren pero que han sido inferidas y que se estiman potencialmente recuperables, mediante la aplicación de proyectos de desarrollo futuros. Estos tienen tanto una oportunidad de descubrimiento como de desarrollo, además se subdividen de acuerdo con el nivel de certidumbre asociado a las estimaciones de recuperación: - P90: Estimación baja de cantidades, que con un 90% de probabilidad serán iguales o mayores a dicho nivel. - P50: Mejor estimación de cantidades, que con un 50% de probabilidad serán iguales o mayores a dicho nivel. - P10: Estimación alta de cantidades, que con un 10% de probabilidad serán iguales o mayores a dicho nivel.",https://www.proyectosmexico.gob.mx/proyecto_inversion/609-ronda2-licitacion-4-area-7/,Yacimiento,1968,km2,Aceite ligero,,,,,,,,,,,,,Si
,"0608 Ronda 2, Licitación 4: Área 6, Perdido","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS PROFUNDAS DEL GOLFO DE MÉXICO CORRESPONDIENTE A LA RONDA 2, LICITACIÓN 4, ÁREA 6 (PERDIDO).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,1864,91,"Exploración,Extracción",,"Contrato de licencia CNH-R02-L04-AP-PG06/2018 para la exploración de hidrocarburos en aguas profundas del Golfo de México, en un área de 1,891 km2 en la provincia petrolera de Perdido para la extracción de aceite ligero, aceite superligero y gas seco. Características Principales: - Provincia geológica: Salina del Bravo - Edad(es) del play: Mioceno tardío, mioceno medio, mioceno temprano, oligoceno tardío, jurásico tardío - Litología(s): Arena grano fino, arena grano medio, packstone/grainstone de oolitas - Tipo de hidrocarburo: Aceite ligero, aceite superligero y gas seco",Público / Privado,Licencia,35 Años,Licitación Pública Internacional,,20/07/2017,31/01/2018,02/02/2018,07/05/2018,07/05/2018,,07/05/2053,Ejecución,,Shell Exploracion y Extraccion de Mexico y QPI México,Qatar Petroleum International,Aguas Profundas del Golfo de México,Comisión Nacional de Hidrocarburos,Dirección General de Contratación para la Exploración y Extracción,"El contrato de tipo licencia para la extracción de hidrocarburos estipula que el contratista proporcionará y será responsable de todos los recursos técnicos y económicos financieros que se requieran para la ejecución de las operaciones y tendrá el derecho de propiedad sobre los hidrocarburos extraídos en el área de Contrato. El Contratista pagará una regalía, sobre la base de los Hidrocarburos fiscalizados. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La cuota contractual para la fase exploratoria 2. Contraprestación sobre la base de ingresos brutos antes de deducir los costos 3. Mecanismo de ajuste con base en volumen de producción y de precios Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años. Recursos Prospectivos: Es el volumen de hidrocarburos estimado, a una cierta fecha, de acumulaciones que todavía no se descubren pero que han sido inferidas y que se estiman potencialmente recuperables, mediante la aplicación de proyectos de desarrollo futuros. Estos tienen tanto una oportunidad de descubrimiento como de desarrollo, además se subdividen de acuerdo con el nivel de certidumbre asociado a las estimaciones de recuperación: - P90: Estimación baja de cantidades, que con un 90% de probabilidad serán iguales o mayores a dicho nivel. - P50: Mejor estimación de cantidades, que con un 50% de probabilidad serán iguales o mayores a dicho nivel. - P10: Estimación alta de cantidades, que con un 10% de probabilidad serán iguales o mayores a dicho nivel.",https://www.proyectosmexico.gob.mx/proyecto_inversion/608-ronda2-licitacion-4-area-6/,Yacimiento,1891,km2,Aceite ligero,,,,Aceite Superligero,,,,Gas seco,,,,,
,"0607 Ronda 2, Licitación 4: Área 5, Perdido","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS PROFUNDAS DEL GOLFO DE MÉXICO CORRESPONDIENTE A LA RONDA 2, LICITACIÓN 4, ÁREA 5 (PERDIDO).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,2173,106,"Exploración,Extracción",,"Contrato de licencia CNH-R02-L04-AP-PG05/2018 para la exploración de hidrocarburos en aguas profundas del Golfo de México, en un área de 2,733 km2 en la provincia petrolera de Perdido para la extracción de aceite ligero. Características Principales: - Provincia geológica: Cinturón Plegado Perdido - Edad(es) del play: Oligoceno tardío, oligoceno temprano, eoceno temprano - Litología(s): Arena grano fino - Tipo de hidrocarburo: Aceite ligero",Público / Privado,Licencia,35 Años,Licitación Pública Internacional,,20/07/2017,31/01/2018,02/02/2018,07/05/2018,07/05/2018,,07/05/2053,Ejecución,,Pemex Exploración y Producción,,Aguas Profundas del Golfo de México,Comisión Nacional de Hidrocarburos,Dirección General de Contratación para la Exploración y Extracción,"El contrato de tipo licencia para la extracción de hidrocarburos estipula que el contratista proporcionará y será responsable de todos los recursos técnicos y económicos financieros que se requieran para la ejecución de las operaciones y tendrá el derecho de propiedad sobre los hidrocarburos extraídos en el área de Contrato. El Contratista pagará una regalía, sobre la base de los Hidrocarburos fiscalizados. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La cuota contractual para la fase exploratoria 2. Contraprestación sobre la base de ingresos brutos antes de deducir los costos 3. Mecanismo de ajuste con base en volumen de producción y de precios Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años. Recursos Prospectivos: Es el volumen de hidrocarburos estimado, a una cierta fecha, de acumulaciones que todavía no se descubren pero que han sido inferidas y que se estiman potencialmente recuperables, mediante la aplicación de proyectos de desarrollo futuros. Estos tienen tanto una oportunidad de descubrimiento como de desarrollo, además se subdividen de acuerdo con el nivel de certidumbre asociado a las estimaciones de recuperación: - P90: Estimación baja de cantidades, que con un 90% de probabilidad serán iguales o mayores a dicho nivel. - P50: Mejor estimación de cantidades, que con un 50% de probabilidad serán iguales o mayores a dicho nivel. - P10: Estimación alta de cantidades, que con un 10% de probabilidad serán iguales o mayores a dicho nivel.",https://www.proyectosmexico.gob.mx/proyecto_inversion/607-ronda2-licitacion-4-area-5/,Yacimiento,2733,km2,Aceite ligero,,,,,,,,,,,,,
,"0606 Ronda 2, Licitación 4: Área 4, Perdido","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS PROFUNDAS DEL GOLFO DE MÉXICO CORRESPONDIENTE A LA RONDA 2, LICITACIÓN 4, ÁREA 4 (PERDIDO).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,2750,133,"Exploración,Extracción",,"Contrato de licencia CNH-R02-L04-AP-PG04/2018 para la exploración de hidrocarburos en aguas profundas del Golfo de México, en un área de 1,900 km2 en la provincia petrolera de Perdido para la extracción de aceite ligero y aceite superligero. Características Principales: - Provincia geológica: Salina del Bravo - Edad(es) del play: Mioceno temprano y eoceno tardío - Litología(s): Arena grano fino - Tipo de hidrocarburo: Aceite ligero y aceite superligero",Público / Privado,Licencia,35 Años,Licitación Pública Internacional,,20/07/2017,31/01/2018,02/02/2018,07/05/2018,07/05/2018,,07/05/2053,Ejecución,,Shell Exploracion y Extraccion de Mexico y QPI México,Qatar Petroleum International,Aguas Profundas del Golfo de México,Comisión Nacional de Hidrocarburos,Dirección General de Contratación para la Exploración y Extracción,"El contrato de tipo licencia para la extracción de hidrocarburos estipula que el contratista proporcionará y será responsable de todos los recursos técnicos y económicos financieros que se requieran para la ejecución de las operaciones y tendrá el derecho de propiedad sobre los hidrocarburos extraídos en el área de Contrato. El Contratista pagará una regalía, sobre la base de los Hidrocarburos fiscalizados. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La cuota contractual para la fase exploratoria 2. Contraprestación sobre la base de ingresos brutos antes de deducir los costos 3. Mecanismo de ajuste con base en volumen de producción y de precios Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años. Recursos Prospectivos: Es el volumen de hidrocarburos estimado, a una cierta fecha, de acumulaciones que todavía no se descubren pero que han sido inferidas y que se estiman potencialmente recuperables, mediante la aplicación de proyectos de desarrollo futuros. Estos tienen tanto una oportunidad de descubrimiento como de desarrollo, además se subdividen de acuerdo con el nivel de certidumbre asociado a las estimaciones de recuperación: - P90: Estimación baja de cantidades, que con un 90% de probabilidad serán iguales o mayores a dicho nivel. - P50: Mejor estimación de cantidades, que con un 50% de probabilidad serán iguales o mayores a dicho nivel. - P10: Estimación alta de cantidades, que con un 10% de probabilidad serán iguales o mayores a dicho nivel.",https://www.proyectosmexico.gob.mx/proyecto_inversion/606-ronda2-licitacion-4-area-4/,Yacimiento,1900,km2,Aceite ligero,,,,Aceite Superligero,,,,,,,,,
,"0605 Ronda 2, Licitación 4: Área 3, Perdido","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS PROFUNDAS DEL GOLFO DE MÉXICO CORRESPONDIENTE A LA RONDA 2, LICITACIÓN 4, ÁREA 3 (PERDIDO).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,519,25,"Exploración,Extracción",,"Contrato de licencia CNH-R02-L04-AP-PG03/2018 para la exploración de hidrocarburos en aguas profundas del Golfo de México, en un área de 2,062 km2 en la provincia petrolera de Perdido para la extracción de aceite ligero y aceite superligero. Características Principales: - Provincia geológica: Cinturón Plegado Perdido - Edad(es) del play: Oligoceno temprano, eoceno tardío y eoceno temprano - Litología(s): Arena grano fino - Tipo de hidrocarburo: Aceite ligero y aceite superligero",Público / Privado,Licencia,35 Años,Licitación Pública Internacional,,20/07/2017,31/01/2018,02/02/2018,07/05/2018,07/05/2018,,07/05/2053,Ejecución,,Shell Exploracion y Extraccion de Mexico y QPI México,Qatar Petroleum International,Aguas Profundas del Golfo de México,Comisión Nacional de Hidrocarburos,Dirección General de Contratación para la Exploración y Extracción,"El contrato de tipo licencia para la extracción de hidrocarburos estipula que el contratista proporcionará y será responsable de todos los recursos técnicos y económicos financieros que se requieran para la ejecución de las operaciones y tendrá el derecho de propiedad sobre los hidrocarburos extraídos en el área de Contrato. El Contratista pagará una regalía, sobre la base de los Hidrocarburos fiscalizados. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La cuota contractual para la fase exploratoria 2. Contraprestación sobre la base de ingresos brutos antes de deducir los costos 3. Mecanismo de ajuste con base en volumen de producción y de precios Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años. Recursos Prospectivos: Es el volumen de hidrocarburos estimado, a una cierta fecha, de acumulaciones que todavía no se descubren pero que han sido inferidas y que se estiman potencialmente recuperables, mediante la aplicación de proyectos de desarrollo futuros. Estos tienen tanto una oportunidad de descubrimiento como de desarrollo, además se subdividen de acuerdo con el nivel de certidumbre asociado a las estimaciones de recuperación: - P90: Estimación baja de cantidades, que con un 90% de probabilidad serán iguales o mayores a dicho nivel. - P50: Mejor estimación de cantidades, que con un 50% de probabilidad serán iguales o mayores a dicho nivel. - P10: Estimación alta de cantidades, que con un 10% de probabilidad serán iguales o mayores a dicho nivel.",https://www.proyectosmexico.gob.mx/proyecto_inversion/605-ronda2-licitacion-4-area-3/,Yacimiento,2062,km2,Aceite ligero,,,,Aceite Superligero,,,,,,,,,
,"0604 Ronda 2, Licitación 4: Área 2, Perdido","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS PROFUNDAS DEL GOLFO DE MÉXICO CORRESPONDIENTE A LA RONDA 2, LICITACIÓN 4, ÁREA 2 (PERDIDO).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,1802,87,"Exploración,Extracción",,"Contrato de licencia CNH-R02-L04-AP-PG02/2018 para la exploración de hidrocarburos en aguas profundas del Golfo de México, en un área de 2,146 km2 en la provincia petrolera de Perdido para la extracción de aceite ligero. Características Principales: - Provincia geológica: Salina del Bravo - Edad(es) del play: Eoceno emprano - Litología(s): Arena grano fino - Tipo de hidrocarburo: Aceite ligero",Público / Privado,Licencia,35 Años,Licitación Pública Internacional,,20/07/2017,31/01/2018,02/02/2018,07/05/2018,07/05/2018,,07/05/2053,Ejecución,,Shell Exploracion y Extraccion de Mexico y Pemex Exploración y Producción,,Aguas Profundas del Golfo de México,Comisión Nacional de Hidrocarburos,Dirección General de Contratación para la Exploración y Extracción,"El contrato de tipo licencia para la extracción de hidrocarburos estipula que el contratista proporcionará y será responsable de todos los recursos técnicos y económicos financieros que se requieran para la ejecución de las operaciones y tendrá el derecho de propiedad sobre los hidrocarburos extraídos en el área de Contrato. El Contratista pagará una regalía, sobre la base de los Hidrocarburos fiscalizados. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La cuota contractual para la fase exploratoria 2. Contraprestación sobre la base de ingresos brutos antes de deducir los costos 3. Mecanismo de ajuste con base en volumen de producción y de precios Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años. Recursos Prospectivos: Es el volumen de hidrocarburos estimado, a una cierta fecha, de acumulaciones que todavía no se descubren pero que han sido inferidas y que se estiman potencialmente recuperables, mediante la aplicación de proyectos de desarrollo futuros. Estos tienen tanto una oportunidad de descubrimiento como de desarrollo, además se subdividen de acuerdo con el nivel de certidumbre asociado a las estimaciones de recuperación: - P90: Estimación baja de cantidades, que con un 90% de probabilidad serán iguales o mayores a dicho nivel. - P50: Mejor estimación de cantidades, que con un 50% de probabilidad serán iguales o mayores a dicho nivel. - P10: Estimación alta de cantidades, que con un 10% de probabilidad serán iguales o mayores a dicho nivel.",https://www.proyectosmexico.gob.mx/proyecto_inversion/604-ronda2-licitacion-4-area-2/,Yacimiento,2146,km2,Aceite ligero,,,,,,,,,,,,,
,0582 CENACE: 1a Subasta Eléctrica de Largo Plazo (SLP-01/2015) Ticul 1,"DISEÑO, CONSTRUCCIÓN, EQUIPAMIENTO, INSTALACIÓN, OPERACIÓN Y MANTENIMIENTO DE UNA CENTRAL FOTOVOLTAICA EN EL ESTADO DE YUCATÁN.",Electricidad,Energía Solar,Greenfield,Pesos mexicanos MXN,8928,433,"Diseño,Construcción,Equipamiento,Instalación,Operación,Mantenimiento",,"El proyecto consiste en el diseño, construcción, equipamiento, instalación, operación y mantenimiento de la central fotovoltaica Ticul 1 con una capacidad total de 300 MW en el estado de Yucatán. La central cuenta con las siguientes características: Zona de potencia: Nacional Zona de exportación: Peninsular Zona de precio: Mérida Zona de interconexión: TICUL II TIC-230 Vega Solar 1 a través de la subasta eléctrica de largo plazo de 2015 de la CENACE, ganó el siguiente contrato con la central fotovoltaica Ticul 1: Número de contrato: SLP2015010319-01, relacionado a: - Energía por 493,303 MWHr/Año y Certificados de Energía Limpia (CEL) por 483,515 CEL/Año, con un precio ofertado de MXN$478,075,849 El plazo del contrato es de 15 años para energía y 20 años para los CEL. Número de contrato: SLP2015010319-02, relacionado a: - Energía por 246,832 MWHr/Año y Certificados de Energía Limpia (CEL) por 241,935 CEL/Año, con un precio ofertado de MXN$249,047,032 El plazo del contrato es de 15 años para energía y 20 años para los CEL.",Privado,Asignación,15 Años,Subasta Pública,,30/11/2015,20/01/2016,31/03/2016,12/07/2016,01/09/2018,,2033,Ejecución,,Vega Solar 1,Sunpower,Yucatán,Privado,Vega Solar 1,,https://www.proyectosmexico.gob.mx/proyecto_inversion/582-cenace-subasta-electrica-de-largo-plazo-ticul-1/,Parque Fotovoltaico,300,MW,,,,,,,,,,,,,,Si
,0581 CENACE: 1a Subasta Eléctrica de Largo Plazo (SLP-1/2015) Parque Eólico Kabil II,"DISEÑO, CONSTRUCCIÓN, EQUIPAMIENTO, INSTALACIÓN, OPERACIÓN Y MANTENIMIENTO DE UNA CENTRAL EÓLICA EN EL ESTADO DE YUCATÁN.",Electricidad,Energía Eólica,Greenfield,Pesos mexicanos MXN,,,"Diseño,Construcción,Equipamiento,Instalación,Operación,Mantenimiento",,"El proyecto consiste en el diseño, construcción, equipamiento, instalación, operación y mantenimiento del Parque Eólico Kabil II con una capacidad total de 30 MW en el estado de Yucatán. La central cuenta con las siguientes características: Zona de potencia: Nacional Zona de exportación: Peninsular Zona de precio: Mérida Zona de interconexión: KOPTE KOP-115-73950-TEMAX II-TXS -115 En 2015, se obtuvo el contrato SLP2015010160-02 relacionado a: - Energía por 117,689 MWHr/Año y Certificados de Energía Limpia (CEL) por 117,689 CEL/Año, con un precio ofertado de MXN$121,730,099. El plazo del contrato es de 15 años para energía y 20 años para los CEL.",Privado,Asignación,15 Años,Subasta Pública,,30/11/2015,20/01/2016,31/03/2016,12/07/2016,01/10/2018,,,Ejecución,,Eólico Maya II,"Aldesa Energias Renovables, GBM, Aldener de México",Yucatán,Privado,Aldesa Energias Renovables,,https://www.proyectosmexico.gob.mx/proyecto_inversion/581-cenace-subasta-electrica-de-largo-plazo-parque-eolico-chacabal-ii/,Parque Eólico,30,MW,,,,,,,,,,,,,,
,0580 CENACE: 1a Subasta Eléctrica de Largo Plazo (SLP-01/2015) Parque Eólico Kabil I,"DISEÑO, CONSTRUCCIÓN, EQUIPAMIENTO, INSTALACIÓN, OPERACIÓN Y MANTENIMIENTO DE UNA CENTRAL EÓLICA EN EL ESTADO DE YUCATÁN.",Electricidad,Energía Eólica,Greenfield,Pesos mexicanos MXN,,,"Diseño,Construcción,Equipamiento,Instalación,Operación,Mantenimiento",,"El proyecto consiste en el diseño, construcción, equipamiento, instalación, operación y mantenimiento del Parque Eólico Kabil I con una capacidad total de 30 MW en el estado de Yucatán. La central cuenta con las siguientes características: Zona de potencia: Nacional Zona de exportación: Peninsular Zona de precio: Mérida Zona de interconexión: KOPTE KOP-115-73950-TEMAX II-TXS -115 En 2015, se obtuvo el contrato SLP2015010160-01 relacionado a: -Energía por 113,199 MWHr/Año y Certificados de Energía Limpia (CEL) por 113,199 CEL/Año, con un precio ofertado de MXN$117,085,925 El plazo del contrato es de 15 años para energía y 20 años para los CEL.",Privado,Asignación,15 Años,Subasta Pública,,30/11/2015,20/01/2016,31/03/2016,12/07/2016,01/10/2018,,,Ejecución,,Eólico Maya I,"Aldesa Energías Renovables, GBM, Aldener de México",Yucatán,Privado,Aldesa Energías Renovables,,https://www.proyectosmexico.gob.mx/proyecto_inversion/580-cenace-subasta-electrica-de-largo-plazo-parque-eolico-chacabal/,Parque Eólico,30,MW,,,,,,,,,,,,,,
