Clave de Cartera,Número de solicitud,Nombre de PPI,Descripción de PPI,Clave Tipo de PPI,Tipo de PPI,Entidad Federativa,Descripción de Entidad,Total,Anteriores,ANIO_1,ANIO_2,ANIO_3,ANIO_4,ANIO_5,Posteriores,Monto Asignado,Ramo,Descripción de Ramo,Unidad,Descripción de Unidad,Fecha de Inicio,Fecha Fin,Fase descripción,Monto Calendario Fiscal 2022,Monto Calendario Propios 2022
'0418TOQ0063,216,1005 Noroeste,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,1256606117,0,0,0,0,0,0,0,23492242,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,02/12/2008,18/09/2026,Registrado,23492242,
'0418TOQ0083,220,Infiernillo,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),16,MICHOACAN,346430060,0,0,0,0,0,0,0,206743,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,27/02/2009,10/07/2026,Registrado,206743,
'0418TOQ0084,221,CT Francisco Pérez Ríos Unidades 1 y 2,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),13,HIDALGO,3119368750,0,0,0,0,0,0,0,3738442,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,03/12/2009,27/11/2026,Registrado,3738442,
'0418TOQ0090,228,1003 Subestaciones Eléctricas de Occidente,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),14,JALISCO,882842836,0,0,0,0,0,0,0,8200000,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,15/07/2011,18/04/2022,Registrado,8200000,
'0418TOQ0092,230,1002 Compensación y Transmisión Noreste - Sureste,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,1245668914,0,0,0,0,0,0,0,1118357,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,09/11/2007,27/11/2026,Registrado,1118357,
'0418TOQ0060,231,San Lorenzo Conversión de TG a CC,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),21,PUEBLA,3044985603,0,0,0,0,0,0,0,197005000,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,06/01/2010,13/09/2024,Registrado,197005000,
'0418TOQ0141,241,Red de Transmisión Asociada a la CH La Yesca,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),18,NAYARIT,1675818116,0,0,0,0,0,0,0,28085000,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,16/12/2011,17/04/2026,Registrado,28085000,
'0518TOQ0047,242,Agua Prieta II (con campo solar),Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),26,SONORA,13224153170,0,0,0,0,0,0,0,678363122,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,28/09/2016,30/12/2036,Registrado,678363122,
'0518TOQ0048,251,Red de transmisión asociada a la CC Agua Prieta II,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),26,SONORA,746098303,0,0,0,0,0,0,0,23985000,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,20/10/2012,15/06/2022,Registrado,23985000,
'0518TOQ0043,256,CN Laguna Verde,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),30,VERACRUZ,13646156576,0,0,0,0,0,0,0,559920211,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,29/03/2011,10/08/2029,Registrado,559920211,
'0518TOQ0054,260,1110 Compensación Capacitiva del Norte,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,545883556,0,0,0,0,0,0,0,11550664,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,21/02/2011,18/04/2022,Registrado,11550664,
'0518TOQ0060,263,1116 Transformación del Noreste,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,5873577994,0,0,0,0,0,0,0,74453889,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,01/05/2009,18/05/2041,Registrado,74453889,
'0518TOQ0061,264,1117 Transformación de Guaymas,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),26,SONORA,329127360,0,0,0,0,0,0,0,3492975,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,29/03/2011,13/02/2026,Registrado,3492975,
'0518TOQ0032,265,1122 Golfo Norte,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,805469728,0,0,0,0,0,0,0,17666429,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,25/05/2010,11/09/2026,Registrado,17666429,
'0518TOQ0034,269,1121 Baja California,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),2,BAJA CALIFORNIA,112216964,0,0,0,0,0,0,0,4071300,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,09/03/2010,13/09/2024,Registrado,4071300,
'0518TOQ0029,270,1124 Bajío Centro,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,817927146,0,0,0,0,0,0,0,7350767,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,29/03/2011,17/04/2026,Registrado,7350767,
'0518TOQ0028,272,1125 Distribución,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,2013478783,0,0,0,0,0,0,0,18456991,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,25/05/2009,17/04/2026,Registrado,18456991,
'0518TOQ0033,274,1127 Sureste,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,329580574,0,0,0,0,0,0,0,1834422,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,05/11/2010,20/11/2026,Registrado,1834422,
'0518TOQ0030,276,1128 Centro Sur,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,422556849,0,0,0,0,0,0,0,20506150,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,10/10/2011,17/04/2026,Registrado,20506150,
'0518TOQ0037,278,1129 Compensación redes,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,320888186,0,0,0,0,0,0,0,7449659,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,05/11/2008,11/09/2026,Registrado,7449659,
'0518TOQ0035,280,1120 Noroeste,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,1024651611,0,0,0,0,0,0,0,16297972,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,29/12/2010,29/09/2036,Registrado,16297972,
'0518TOQ0055,281,1111 Transmisión y Transformación del Central - Occidental,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,1486508426,0,0,0,0,0,0,0,58950005,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,16/03/2012,11/12/2026,Registrado,58950005,
'0518TOQ0064,282,Red de Transmisión Asociada a la CE La Venta III,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),20,OAXACA,25539582,0,0,0,0,0,0,0,61500,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,28/04/2010,27/11/2026,Registrado,61500,
'0518TOQ0058,283,1114 Transmisión y Transformación del Oriental,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,2816512656,0,0,0,0,0,0,0,140900006,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,24/12/2012,20/10/2025,Registrado,140900006,
'0518TOQ0062,284,1118 Transmisión y Transformación del Norte,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),8,CHIHUAHUA,756940323,0,0,0,0,0,0,0,18578064,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,18/07/2008,13/09/2024,Registrado,18578064,
'0518TOQ0063,285,1119 Transmisión y Transformación del Sureste,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,2215547038,0,0,0,0,0,0,0,2110455,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,26/07/2010,20/11/2026,Registrado,2110455,
'0518TOQ0038,286,Suministro de 970 T/h a las Centrales de Cerro Prieto,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),16,MICHOACAN,2397147741,0,0,0,0,0,0,0,3794653,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,14/04/2009,10/07/2026,Registrado,3794653,
'0518TOQ0056,287,1112 Transmisión y Transformación del Noroeste,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,1848155181,0,0,0,0,0,0,0,27585005,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,06/10/2009,30/04/2026,Registrado,27585005,
'0618TOQ0029,289,1213 COMPENSACION DE REDES,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,998180225,0,0,0,0,0,0,0,4656883,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,28/07/2009,18/09/2026,Registrado,4656883,
'0618TOQ0030,290,1205 Compensación Oriental - Peninsular,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,194602093,0,0,0,0,0,0,0,13039066,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,27/11/2009,13/09/2024,Registrado,13039066,
'0618TOQ0031,291,1212 SUR - PENINSULAR,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,2753578673,0,0,0,0,0,0,0,41000000,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,20/12/2010,31/12/2048,Registrado,42674727,
'0618TOQ0032,292,1204 Conversión a 400 kV del Área Peninsular,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,3044690407,0,0,0,0,0,0,0,5448121,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,15/11/2010,20/11/2026,Registrado,5448121,
'0618TOQ0033,293,1203 Transmisión y Transformación Oriental - Sureste,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,3911434733,0,0,0,0,0,0,0,34026003,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,14/06/2010,31/07/2026,Registrado,34026003,
'0618TOQ0035,295,1211 NORESTE - CENTRAL,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,1269241188,0,0,0,0,0,0,0,77530262,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,27/09/2010,12/07/2047,Registrado,77530262,
'0618TOQ0036,296,1210 NORTE - NOROESTE,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,4991375062,0,0,0,0,0,0,0,39000020,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,05/01/2011,15/08/2032,Registrado,43085670,
'0618TOQ0037,297,1201 Transmisión y Transformación de Baja California,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,1288535870,0,0,0,0,0,0,0,32596025,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,28/06/2010,12/07/2047,Registrado,32596025,
'0618TOQ0038,298,CCC Poza Rica,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),30,VERACRUZ,3158918270,0,0,0,0,0,0,0,272793910,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,21/12/2012,27/04/2026,Registrado,272793910,
'0618TOQ0039,299,CCC El Sauz Paquete 1,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),22,QUERETARO,3318269794,0,0,0,0,0,0,0,157906457,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,18/02/2014,15/04/2032,Registrado,157906457,
'0618TOQ0042,300,"Red de Trans Asoc al proy de temp abierta y Oax. II, III, IV",Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,844949612,0,0,0,0,0,0,0,469655,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,27/09/2010,10/07/2026,Registrado,469655,
'0618TOQ0054,301,Red de Transmisión Asociada a Manzanillo I U-1 y 2,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,891479794,0,0,0,0,0,0,0,11763310,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,05/03/2012,09/10/2026,Registrado,11763310,
'0618TOQ0050,304,CC Repotenciación CT Manzanillo I U-1 y 2,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),6,COLIMA,21707510830,0,0,0,0,0,0,0,1319746028,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,10/10/2011,15/04/2032,Registrado,1319746028,
'0618TOQ0049,308,CI Guerrero Negro III,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),3,BAJA CALIFORNIA SUR,551706804,0,0,0,0,0,0,0,49799994,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,30/08/2016,27/04/2026,Registrado,49799994,
'0618TOQ0051,309,Los Humeros II,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),21,PUEBLA,2222121449,0,0,0,0,0,0,0,70975018,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,11/12/2012,18/04/2022,Registrado,70975018,
'0618TOQ0052,310,Red de transmisión asociada a la CCC Norte II,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),8,CHIHUAHUA,449003609,0,0,0,0,0,0,0,13782499,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,14/11/2012,19/04/2023,Registrado,13782499,
'0618TOQ0053,311,TG Baja California II,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),2,BAJA CALIFORNIA,2129249540,0,0,0,0,0,0,0,66399992,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,23/01/2014,11/12/2026,Registrado,66399992,
'0718TOQ0036,318,1304 Transmisión y Transformación del Oriental,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),27,TABASCO,161400626,0,0,0,0,0,0,0,642163,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,13/08/2010,26/06/2026,Registrado,642163,
'0718TOQ0035,320,1303 Transmisión y Transformación Baja - Noroeste,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,217330182,0,0,0,0,0,0,0,865920,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,12/07/2010,26/06/2026,Registrado,865920,
'0718TOQ0034,321,1302 Transformación del Noreste,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),5,COAHUILA DE ZARAGOZA,785593816,0,0,0,0,0,0,0,28092749,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,20/07/2017,12/07/2047,Registrado,28092749,
'0718TOQ0022,322,Baja California Sur IV,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),3,BAJA CALIFORNIA SUR,2053646525,0,0,0,0,0,0,0,50590003,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,11/07/2014,30/04/2026,Registrado,50590003,
'0718TOQ0023,323,Baja California Sur III,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),3,BAJA CALIFORNIA SUR,2016646915,0,0,0,0,0,0,0,61000005,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,04/11/2012,15/06/2022,Registrado,61000005,
'0718TOQ0027,324,1313 Red de Transmisión Asociada al CC Baja California III,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),2,BAJA CALIFORNIA,238666415,0,0,0,0,0,0,0,18085941,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,29/02/2016,09/12/2026,Registrado,18085941,
'0718TOQ0037,329,1323 DISTRIBUCION SUR,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,506453244,0,0,0,0,0,0,0,6819182,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,22/06/2011,11/03/2048,Registrado,6819182,
'0718TOQ0038,330,1322 DISTRIBUCION CENTRO,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,1771832676,0,0,0,0,0,0,0,138924995,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,13/07/2011,27/04/2026,Registrado,138924995,
'0718TOQ0032,331,1321 DISTRIBUCION NORESTE,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,1420658082,0,0,0,0,0,0,0,49200000,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,30/08/2010,23/10/2026,Registrado,49200000,
'0718TOQ0033,332,1320 DISTRIBUCION NOROESTE,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,1933440244,0,0,0,0,0,0,0,26300024,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,19/09/2011,23/11/2032,Registrado,26300024,
'0818TOQ0071,338,SLT 1404 Subestaciones del Oriente,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,471608368,0,0,0,0,0,0,0,12401701,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,07/05/2013,30/04/2026,Registrado,12401701,
'0818TOQ0093,339,1401 SEs y LTs de las Áreas Baja California y Noroeste,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,1315802835,0,0,0,0,0,0,0,28179997,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,29/11/2011,12/06/2026,Registrado,28179997,
'0818TOQ0072,340,1405 Subest y Líneas de Transmisión de las Áreas Sureste,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),27,TABASCO,1202509510,0,0,0,0,0,0,0,53690013,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,01/03/2014,30/03/2045,Registrado,53690013,
'0818TOQ0069,341,1402 Cambio de Tensión de la LT Culiacán - Los Mochis,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),25,SINALOA,1021134709,0,0,0,0,0,0,0,3748261,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,06/10/2011,16/10/2026,Registrado,3748261,
'0818TOQ0073,342,1421 DISTRIBUCIÓN SUR,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,535355126,0,0,0,0,0,0,0,32000008,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,17/07/2013,29/09/2036,Registrado,32000008,
'0818TOQ0074,344,1420 DISTRIBUCIÓN NORTE,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,693116443,0,0,0,0,0,0,0,45616682,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,15/02/2013,11/03/2048,Registrado,45616682,
'0818TOQ0084,348,Santa Rosalía II,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),3,BAJA CALIFORNIA SUR,1016654963,0,0,0,0,0,0,0,0,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,03/01/2023,27/02/2032,Registrado,32436187,
'0818TOQ0076,349,CT Altamira Unidades 1 y 2,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),28,TAMAULIPAS,8975518901,0,0,0,0,0,0,0,10271,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,05/11/2021,31/01/2031,Registrado,10292,
'0918TOQ0018,351,SE 1521 DISTRIBUCIÓN SUR,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,704269778,0,0,0,0,0,0,0,40700003,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,04/02/2014,11/03/2048,Registrado,40700003,
'0918TOQ0019,352,SE 1520 DISTRIBUCION NORTE,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,222794023,0,0,0,0,0,0,0,8075094,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,20/08/2013,12/07/2047,Registrado,8075094,
'0918TOQ0020,353,Cogeneración Salamanca Fase I,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),11,GUANAJUATO,10663079514,0,0,0,0,0,0,0,499092836,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,26/01/2015,31/07/2047,Registrado,499092836,
'1018TOQ0038,354,1601 Transmisión y Transformación Noroeste - Norte,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,776981019,0,0,0,0,0,0,0,22257506,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,16/01/2013,18/12/2026,Registrado,22257506,
'1018TOQ0050,356,Centro,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),17,MORELOS,15487360507,0,0,0,0,0,0,0,991816964,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,22/09/2017,15/12/2047,Registrado,996348668,
'1018TOQ0040,358,1603 Subestación Lago,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),15,ESTADO DE MEXICO,3739762670,0,0,0,0,0,0,0,65365952,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,30/01/2019,11/03/2048,Registrado,65365952,
'1018TOQ0043,359,1604 Transmisión Ayotla-Chalco,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),15,ESTADO DE MEXICO,491850413,0,0,0,0,0,0,0,38600004,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,30/09/2014,31/07/2024,Registrado,38600004,
'1018TOQ0046,360,Guerrero Negro IV,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),3,BAJA CALIFORNIA SUR,524237177,0,0,0,0,0,0,0,33331558,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,05/11/2021,30/08/2032,Registrado,34611708,
'1018TOQ0056,361,Red de Transmisión Asociada a la CI Guerrero Negro IV,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),3,BAJA CALIFORNIA SUR,61154806,0,0,0,0,0,0,0,6221033,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,12/05/2015,31/07/2024,Registrado,6221033,
'1018TOQ0048,365,1621 Distribución Norte-Sur,Infraestructura económica (PIDIREGAS),12,Infraestructura económica (PIDIREGAS),34,NO DISTRIBUIBLE GEOGRAFICAMENTE,944757634,0,0,0,0,0,0,0,57940852,53,Comisión Federal de Electricidad,TVV,CFE Consolidado,04/06/2015,18/03/2050,Registrado,57940852,
